Name,Price(INR),Total-area,Sector,Furnishing,Parking,Bathroom,Society
"2 BHK Flat for Sale in M3M Heights, Sector 65, Gurgaon",1.90 Cr,1310 sqft,Sector 65,Semi-Furnished,1,2,M3M Heights
"4 BHK Flat for Sale in DLF Project Alameda, Sector 73, Delhi Gurgaon Expressway, Gurgaon",4.50 Cr,2600 sqft,Sector 73,Semi-Furnished,2,4,DLF Project Alameda
"4 BHK Flat for Sale in Adani Brahma Samsara, Sector 63, Gurgaon",3.70 Cr,1367 sqft,Sector 63,Semi-Furnished,N/A,4,Adani Brahma Samsara
"3 BHK Flat for Sale in Sector 5, Gurgaon",1.55 Cr,1600 sqft,Gurgaon,Semi-Furnished,2,3,N/A
"4 BHK Flat for Sale in Sushant Plaza, Sushant Lok, Gurgaon",2.85 Cr,1850 sqft,Sushant Lok,Semi-Furnished,2,4,Sushant Plaza
"5 BHK Flat for Sale in La Lagune Gurgaon, Golf Course Road, Gurgaon",9 Cr,5100 sqft,Golf Course Road,Semi-Furnished,3,6,La Lagune Gurgaon
"4 BHK Flat for Sale in Palam Vihar Residential Society, Palam Vihar, Gurgaon",2.30 Cr,360 sqyrd,Palam Vihar,Semi-Furnished,N/A,4,Palam Vihar Residential Society
"2 BHK Flat for Sale in Puri Emerald Bay, Sector 104, Gurgaon",1.65 Cr,1300 sqft,Sector 104,Unfurnished,1,3,Puri Emerald Bay
"4 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",2.60 Cr,2400 sqft,Sector 48,Semi-Furnished,1,5,Vipul World
"3 BHK Flat for Sale in Sector 51, Gurgaon",2.20 Cr,1950 sqft,Gurgaon,Semi-Furnished,N/A,3,N/A
"3 BHK Flat for Sale in Sector 57, Gurgaon",1.45 Cr,1800 sqft,Gurgaon,Semi-Furnished,1,3,N/A
"4 BHK Flat for Sale in Phase 1 DLF, Gurgaon",5.95 Cr,3200 sqft,Gurgaon,Semi-Furnished,2,5,N/A
"4 BHK Villa for Sale in Malibu Town, Sector 47 Gurgaon",15 Cr,3125 sqft,Sector 47 Gurgaon,Semi-Furnished,4,6,N/A
"4 BHK Flat for Sale in Sector 22, Gurgaon",2.45 Cr,1800 sqft,Gurgaon,Semi-Furnished,N/A,4,N/A
"3 BHK Flat for Sale in Palam Vihar Residential Society, Pocket C Palam Vihar, Gurgaon",2.90 Cr,2650 sqft,Pocket C Palam Vihar,Furnished,2,3,Palam Vihar Residential Society
